"zip","population","zip_code","latitude","longitude","city","state","county"
92805,74557,92805,33.6403,-117.769,"Anaheim","CA","Orange"
33411,74554,33411,26.6644,-80.1741,"West Palm Beach","FL","Palm Beach"
94536,74544,94536,37.5653,-121.983,"Fremont","CA","Alameda"
10466,74519,10466,40.8599,-73.841,"Bronx","NY","Bronx"
90255,74390,90255,33.978,-118.213,"Huntington Park","CA","Los Angeles"
10452,74379,10452,40.8387,-73.9216,"Bronx","NY","Bronx"
10002,74363,10002,40.7188,-73.9864,"New York City","NY","New York"
93306,74296,93306,35.413,-118.867,"Bakersfield","CA","Kern"
80013,74293,80013,39.6607,-104.763,"Aurora","CO","Arapahoe"
19120,74270,19120,40.0316,-75.119,"Philadelphia","PA","Philadelphia"
97701,74255,97701,44.082,-121.227,"Bend","OR","Deschutes"
91910,74233,91910,32.6369,-117.05,"Chula Vista","CA","San Diego"
97006,74152,97006,45.5201,-122.86,"Beaverton","OR","Washington"
90003,74117,90003,33.9492,-118.273,"Los Angeles","CA","Los Angeles"
92553,74107,92553,33.8572,-116.72,"Moreno Valley","CA","Riverside"
33647,74066,33647,28.1278,-82.3503,"Tampa","FL","Hillsborough"
11212,74037,11212,40.6638,-73.9164,"Brooklyn","NY","Kings"
77095,73956,77095,29.834,-95.4342,"Houston","TX","Harris"
75002,73916,75002,33.208,-96.6468,"Allen","TX","Collin"
84095,73808,84095,40.5541,-111.954,"South Jordan","UT","Salt Lake"
85364,73674,85364,32.6153,-114.649,"Yuma","AZ","Yuma"
27587,73345,27587,35.858,-78.5865,"Wake Forest","NC","Wake"
11218,73280,11218,40.6443,-73.9784,"Brooklyn","NY","Kings"
85032,73212,85032,33.2765,-112.187,"Phoenix","AZ","Maricopa"
33025,73180,33025,26.1423,-80.2316,"Hollywood","FL","Broward"
22191,73081,22191,38.6255,-77.2716,"Woodbridge","VA","Prince William"
30040,72858,30040,34.2321,-84.158,"Cumming","GA","Forsyth"
94110,72765,94110,37.7489,-122.416,"San Francisco","CA","San Francisco"
34953,72636,34953,27.2577,-80.3803,"Port St. Lucie","FL","St. Lucie"
11375,72615,11375,40.723,-73.8437,"Forest Hills","NY","Queens"
92880,72614,92880,33.7529,-116.056,"Corona","CA","Riverside"
10469,72550,10469,40.87,-73.8449,"Bronx","NY","Bronx"
76028,72493,76028,32.4927,-97.2644,"Burleson","TX","Johnson"
60614,72391,60614,41.8119,-87.6873,"Chicago","IL","Cook"
45011,72320,45011,39.4251,-84.4729,"Hamilton","OH","Butler"
73099,72074,73099,35.5214,-97.7705,"Yukon","OK","Canadian"
98052,71940,98052,47.6788,-122.121,"Redmond","WA","King"
93065,71906,93065,34.2722,-118.734,"Simi Valley","CA","Ventura"
97007,71896,97007,45.4505,-122.865,"Beaverton","OR","Washington"
19124,71858,19124,40.0216,-75.0937,"Philadelphia","PA","Philadelphia"
80219,71795,80219,39.695,-105.034,"Denver","CO","Denver"
30041,71750,30041,34.2037,-84.1031,"Cumming","GA","Forsyth"
78046,71726,78046,27.4047,-99.4743,"Laredo","TX","Webb"
30127,71709,30127,33.9135,-84.6859,"Powder Springs","GA","Cobb"
60505,71617,60505,41.7655,-88.4054,"Aurora","IL","Kane"
